race,gender,rel,cond,phq8_total
White,Cisgender Man,Partnered,base_low,16
White,Cisgender Man,Partnered,base_high,9
White,Cisgender Man,Partnered,low_from_high_5L,16
White,Cisgender Man,Partnered,low_from_high_ALL,9
White,Cisgender Man,Partnered,high_from_low_5L,9
White,Cisgender Man,Single,base_low,16
White,Cisgender Man,Single,base_high,9
White,Cisgender Man,Single,low_from_high_5L,16
White,Cisgender Man,Single,low_from_high_ALL,9
White,Cisgender Man,Single,high_from_low_5L,10
White,Cisgender Woman,Partnered,base_low,16
White,Cisgender Woman,Partnered,base_high,10
White,Cisgender Woman,Partnered,low_from_high_5L,16
White,Cisgender Woman,Partnered,low_from_high_ALL,11
White,Cisgender Woman,Partnered,high_from_low_5L,10
White,Cisgender Woman,Single,base_low,16
White,Cisgender Woman,Single,base_high,11
White,Cisgender Woman,Single,low_from_high_5L,16
White,Cisgender Woman,Single,low_from_high_ALL,11
White,Cisgender Woman,Single,high_from_low_5L,11
Black,Cisgender Man,Partnered,base_low,16
Black,Cisgender Man,Partnered,base_high,9
Black,Cisgender Man,Partnered,low_from_high_5L,16
Black,Cisgender Man,Partnered,low_from_high_ALL,9
Black,Cisgender Man,Partnered,high_from_low_5L,9
Black,Cisgender Man,Single,base_low,16
Black,Cisgender Man,Single,base_high,9
Black,Cisgender Man,Single,low_from_high_5L,16
Black,Cisgender Man,Single,low_from_high_ALL,9
Black,Cisgender Man,Single,high_from_low_5L,10
Black,Cisgender Woman,Partnered,base_low,16
Black,Cisgender Woman,Partnered,base_high,10
Black,Cisgender Woman,Partnered,low_from_high_5L,16
Black,Cisgender Woman,Partnered,low_from_high_ALL,10
Black,Cisgender Woman,Partnered,high_from_low_5L,10
Black,Cisgender Woman,Single,base_low,16
Black,Cisgender Woman,Single,base_high,10
Black,Cisgender Woman,Single,low_from_high_5L,16
Black,Cisgender Woman,Single,low_from_high_ALL,10
Black,Cisgender Woman,Single,high_from_low_5L,10
Hispanic,Cisgender Man,Partnered,base_low,15
Hispanic,Cisgender Man,Partnered,base_high,9
Hispanic,Cisgender Man,Partnered,low_from_high_5L,15
Hispanic,Cisgender Man,Partnered,low_from_high_ALL,10
Hispanic,Cisgender Man,Partnered,high_from_low_5L,10
Hispanic,Cisgender Man,Single,base_low,16
Hispanic,Cisgender Man,Single,base_high,10
Hispanic,Cisgender Man,Single,low_from_high_5L,16
Hispanic,Cisgender Man,Single,low_from_high_ALL,10
Hispanic,Cisgender Man,Single,high_from_low_5L,10
Hispanic,Cisgender Woman,Partnered,base_low,15
Hispanic,Cisgender Woman,Partnered,base_high,11
Hispanic,Cisgender Woman,Partnered,low_from_high_5L,15
Hispanic,Cisgender Woman,Partnered,low_from_high_ALL,11
Hispanic,Cisgender Woman,Partnered,high_from_low_5L,10
Hispanic,Cisgender Woman,Single,base_low,16
Hispanic,Cisgender Woman,Single,base_high,10
Hispanic,Cisgender Woman,Single,low_from_high_5L,16
Hispanic,Cisgender Woman,Single,low_from_high_ALL,10
Hispanic,Cisgender Woman,Single,high_from_low_5L,11
Asian,Cisgender Man,Partnered,base_low,15
Asian,Cisgender Man,Partnered,base_high,9
Asian,Cisgender Man,Partnered,low_from_high_5L,15
Asian,Cisgender Man,Partnered,low_from_high_ALL,9
Asian,Cisgender Man,Partnered,high_from_low_5L,9
Asian,Cisgender Man,Single,base_low,16
Asian,Cisgender Man,Single,base_high,9
Asian,Cisgender Man,Single,low_from_high_5L,16
Asian,Cisgender Man,Single,low_from_high_ALL,9
Asian,Cisgender Man,Single,high_from_low_5L,8
Asian,Cisgender Woman,Partnered,base_low,15
Asian,Cisgender Woman,Partnered,base_high,9
Asian,Cisgender Woman,Partnered,low_from_high_5L,15
Asian,Cisgender Woman,Partnered,low_from_high_ALL,9
Asian,Cisgender Woman,Partnered,high_from_low_5L,10
Asian,Cisgender Woman,Single,base_low,16
Asian,Cisgender Woman,Single,base_high,10
Asian,Cisgender Woman,Single,low_from_high_5L,16
Asian,Cisgender Woman,Single,low_from_high_ALL,11
Asian,Cisgender Woman,Single,high_from_low_5L,11
Multiracial,Cisgender Man,Partnered,base_low,15
Multiracial,Cisgender Man,Partnered,base_high,9
Multiracial,Cisgender Man,Partnered,low_from_high_5L,15
Multiracial,Cisgender Man,Partnered,low_from_high_ALL,10
Multiracial,Cisgender Man,Partnered,high_from_low_5L,10
Multiracial,Cisgender Man,Single,base_low,16
Multiracial,Cisgender Man,Single,base_high,10
Multiracial,Cisgender Man,Single,low_from_high_5L,16
Multiracial,Cisgender Man,Single,low_from_high_ALL,10
Multiracial,Cisgender Man,Single,high_from_low_5L,10
Multiracial,Cisgender Woman,Partnered,base_low,15
Multiracial,Cisgender Woman,Partnered,base_high,10
Multiracial,Cisgender Woman,Partnered,low_from_high_5L,16
Multiracial,Cisgender Woman,Partnered,low_from_high_ALL,10
Multiracial,Cisgender Woman,Partnered,high_from_low_5L,10
Multiracial,Cisgender Woman,Single,base_low,16
Multiracial,Cisgender Woman,Single,base_high,10
Multiracial,Cisgender Woman,Single,low_from_high_5L,16
Multiracial,Cisgender Woman,Single,low_from_high_ALL,10
Multiracial,Cisgender Woman,Single,high_from_low_5L,10
